,Address Matches,Business Phone,City Matches,Connected,High Quality,Low Quality,Mailable,Medium Quality,No Address,No Date,Not Valid,Ported,Possibly Disconnected,Possibly Portable VOIP,Relevant Name,Residential Phone,Unknown Contact,Wireless,ZipCode Matches
Connected,41,88,77,75,68,25,86,7,0,0,0,74,4,8,79,11,0,1,74
Disconnected,8,72,37,39,25,52,62,14,10,2,1,47,27,5,44,19,8,2,0
