,Address Match,Business Phone,City Match,Connected,Disconnected,High Quality,INF,Last Name Match,Low Quality,Mailable,Medium Quality,NO SIC,No Address,No Date,Ported,Possibly Portable VOIP,Relevant Name,Relevant SIC,State Match,ZipCode Match,predicted,actual
239,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,disconnected,disconnected
746,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,disconnected,connected
843,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,connected,connected
657,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,connected,connected
352,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,disconnected,connected
6,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,disconnected,connected
443,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,disconnected,connected
324,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,disconnected,disconnected
54,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,disconnected,disconnected
479,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,connected,disconnected
598,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,disconnected,disconnected
484,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,disconnected,disconnected
98,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,connected,disconnected
515,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,disconnected,disconnected
715,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,disconnected,connected
841,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,disconnected,connected
579,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,disconnected,disconnected
252,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,connected,disconnected
754,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,disconnected,disconnected
55,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,disconnected,disconnected
860,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,connected,connected
572,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,connected,disconnected
266,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,connected,disconnected
806,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,disconnected,disconnected
80,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,connected,connected
436,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
207,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,connected,connected
707,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,connected,connected
68,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,connected,connected
378,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
663,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,connected,connected
606,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,disconnected
701,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,connected,connected
4,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,connected,connected
578,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,disconnected,disconnected
781,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,disconnected,disconnected
755,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,disconnected,disconnected
445,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,disconnected,disconnected
562,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,connected,disconnected
600,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,disconnected,disconnected
25,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,connected,connected
214,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,disconnected,connected
401,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,connected,connected
384,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,connected,connected
194,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,connected,connected
577,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,connected,disconnected
784,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,disconnected,disconnected
353,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
21,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,disconnected,connected
437,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,disconnected,connected
377,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,connected,connected
387,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,connected,connected
489,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,disconnected,disconnected
532,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,disconnected,disconnected
76,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,disconnected,connected
850,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,connected,connected
794,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,disconnected,disconnected
651,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,connected,connected
720,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,disconnected,connected
590,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,disconnected,disconnected
840,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,disconnected,connected
176,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,disconnected,connected
10,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
826,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,disconnected,connected
507,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,connected,disconnected
129,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,connected,connected
34,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,disconnected,disconnected
879,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,connected,connected
647,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,disconnected,connected
608,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,connected,disconnected
125,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,disconnected,connected
95,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,disconnected,disconnected
375,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,connected,connected
272,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,connected,disconnected
41,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,disconnected,disconnected
221,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
549,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,disconnected,disconnected
166,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,disconnected,disconnected
681,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,connected,connected
695,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,connected,connected
516,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,disconnected,disconnected
882,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,connected,connected
837,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,connected,connected
662,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
369,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
128,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,connected,connected
864,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,connected,connected
50,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,disconnected,disconnected
