,Zipcode,Zipcode Area
229,48730,73.277 sq mi
230,49544,0.172 sq mi
231,42503,129.319 sq mi
232,48326,17.29 sq mi
233,47331,1.388 sq mi
234,48360,0.795 sq mi
235,21201,1.29 sq mi
236,44195,0 sq mi
237,48315,12.766 sq mi
238,54143,6.151 sq mi
239,49007,3.604 sq mi
240,48043,4.099 sq mi
241,48060,3.104 sq mi
242,48118,4.172 sq mi
243,60302,3.013 sq mi
244,29303,0.109 sq mi
245,49307,135.419 sq mi
246,49428,0.688 sq mi
247,49505,0.223 sq mi
248,48230,3.228 sq mi
249,14203,2.637 sq mi
250,14569,76.288 sq mi
251,26537,41.266 sq mi
252,80218,1.6 sq mi
253,84065,0.003 sq mi
254,53581,0.108 sq mi
255,99301,464.977 sq mi
256,48820,65.682 sq mi
257,49858,85.817 sq mi
258,37027,0.05 sq mi
259,48170,34.15 sq mi
260,33461,7.245 sq mi
261,48507,20.83 sq mi
262,48377,9.644 sq mi
263,48067,4.59 sq mi
264,48884,60.851 sq mi
265,47710,0.162 sq mi
266,48138,1.525 sq mi
267,17602,0.428 sq mi
268,22908,0 sq mi
269,74464,1.494 sq mi
270,49333,3.872 sq mi
271,94577,8.15 sq mi
272,49660,186.729 sq mi
273,60153,2.997 sq mi
274,55905,0 sq mi
275,49415,29.43 sq mi
276,48114,1.733 sq mi
277,96813,0.249 sq mi
278,63110,6.263 sq mi
279,48843,90.004 sq mi
280,48070,0.004 sq mi
281,23708,0.165 sq mi
282,49727,129.101 sq mi
283,11772,0.445 sq mi
284,20755,0.012 sq mi
285,97209,1.046 sq mi
286,48322,11.756 sq mi
287,21133,0.016 sq mi
288,11374,0 sq mi
289,55455,0.267 sq mi
290,48327,0.484 sq mi
291,49712,71.689 sq mi
292,30322,0.001 sq mi
293,12208,4.194 sq mi
294,43210,1.546 sq mi
295,77030,2.521 sq mi
296,79905,6.482 sq mi
297,90095,0 sq mi
298,76301,11.734 sq mi
299,15238,0.801 sq mi
300,30553,59.253 sq mi
301,92121,12.251 sq mi
302,92024,0.753 sq mi
303,43617,5.475 sq mi
304,19104,0.128 sq mi
305,11355,0 sq mi
306,47804,6.577 sq mi
307,21287,0 sq mi
308,40391,239.432 sq mi
309,44136,13.61 sq mi
310,49236,37.54 sq mi
311,48203,8.014 sq mi
312,91343,5.911 sq mi
313,63141,14.133 sq mi
314,49048,37.908 sq mi
315,10457,1.061 sq mi
316,37208,4.617 sq mi
317,19107,0.549 sq mi
318,12901,0.743 sq mi
319,26003,94.765 sq mi
320,49682,36.758 sq mi
321,49646,221.872 sq mi
322,48879,189.065 sq mi
323,49720,95.633 sq mi
324,48617,138.58 sq mi
325,97233,0.018 sq mi
326,50010,59.859 sq mi
327,48089,7.963 sq mi
328,75024,12.637 sq mi
329,80045,0.67 sq mi
330,93246,0 sq mi
331,48906,33.156 sq mi
332,91105,3.694 sq mi
333,49327,92.394 sq mi
334,48838,92.405 sq mi
335,32935,12.869 sq mi
336,59101,2.819 sq mi
337,10029,0 sq mi
338,31520,1.691 sq mi
339,54304,11.723 sq mi
340,11219,1.482 sq mi
341,46383,0.601 sq mi
342,49412,106.177 sq mi
343,29605,0.175 sq mi
344,21215,6.813 sq mi
345,60637,0.738 sq mi
346,89106,5.293 sq mi
347,19013,0.008 sq mi
348,44304,1.507 sq mi
349,32224,0.956 sq mi
350,60169,7.683 sq mi
351,58201,70.639 sq mi
352,60521,4.712 sq mi
353,60608,0.176 sq mi
354,11201,1.421 sq mi
355,43604,2.819 sq mi
356,63108,2.24 sq mi
357,13210,0.003 sq mi
358,27834,1.118 sq mi
359,32610,0 sq mi
360,48207,6.201 sq mi
361,48342,5.734 sq mi
362,45267,0 sq mi
363,33907,0.404 sq mi
364,31602,40.763 sq mi
365,18103,17.609 sq mi
366,62521,66.919 sq mi
367,22903,75.631 sq mi
368,26506,0 sq mi
369,48442,85.37 sq mi
370,75904,142.181 sq mi
371,48076,7.119 sq mi
372,32806,6.66 sq mi
373,48210,5.042 sq mi
374,48168,20.401 sq mi
375,49009,102.817 sq mi
376,48413,137.533 sq mi
377,15212,0.36 sq mi
378,98223,1.694 sq mi
379,55805,1.411 sq mi
380,75240,3.768 sq mi
381,61350,5.319 sq mi
382,64804,91.176 sq mi
383,62062,6.421 sq mi
384,94105,0.369 sq mi
385,77040,0.088 sq mi
386,28403,0.278 sq mi
387,49037,24.794 sq mi
388,46032,25.81 sq mi
389,49507,0 sq mi
390,78212,6.758 sq mi
391,75235,6.72 sq mi
392,22304,0.092 sq mi
393,49506,0.545 sq mi
394,64111,2.722 sq mi
395,49508,0.023 sq mi
396,48106,0 sq mi
397,48072,2.402 sq mi
398,89030,9.358 sq mi
399,49788,7.75 sq mi
400,62702,15.434 sq mi
401,48601,104.961 sq mi
402,60064,5.177 sq mi
403,48167,17.783 sq mi
404,49686,28.975 sq mi
405,49087,60.666 sq mi
406,48195,6.823 sq mi
407,48553,0 sq mi
408,48193,7.025 sq mi
409,44035,0.496 sq mi
410,77555,0 sq mi
411,48357,0.591 sq mi
412,60022,3.928 sq mi
413,21403,9.085 sq mi
414,48098,9.392 sq mi
415,48042,0.044 sq mi
416,85739,186.503 sq mi
417,48433,55.517 sq mi
418,39402,87.857 sq mi
419,90640,8.491 sq mi
420,13021,0.223 sq mi
421,49701,6.244 sq mi
422,85016,9.035 sq mi
423,48048,0.155 sq mi
424,48192,5.298 sq mi
425,48811,62.834 sq mi
426,30901,20.538 sq mi
427,48390,0.975 sq mi
428,44504,1.247 sq mi
429,48723,129.118 sq mi
430,49930,4.669 sq mi
431,48182,39.647 sq mi
432,32250,2.418 sq mi
433,17522,0.46 sq mi
434,37232,0 sq mi
435,48227,7.531 sq mi
436,49738,293.614 sq mi
437,49945,165.886 sq mi
438,48506,18.942 sq mi
439,60453,8.457 sq mi
440,49202,13.938 sq mi
441,20007,3.007 sq mi
442,49512,0.217 sq mi
443,94304,6.498 sq mi
444,43202,2.51 sq mi
445,49707,216.065 sq mi
446,49127,16.189 sq mi
447,89048,0.136 sq mi
448,46410,29.522 sq mi
449,78207,7.263 sq mi
450,11021,0.044 sq mi
451,11215,2.178 sq mi
452,33009,0.593 sq mi
453,49862,44.597 sq mi
454,48756,78.177 sq mi
455,14214,0 sq mi
456,17403,0.447 sq mi
457,52246,0.107 sq mi
458,74136,8.081 sq mi
459,49630,45.2 sq mi
460,36111,0.005 sq mi
461,85206,9.555 sq mi
462,48340,7.51 sq mi
463,48176,74.345 sq mi
464,48429,54.259 sq mi
465,30310,0.008 sq mi
466,49401,25.676 sq mi
467,34761,15.842 sq mi
468,85013,3.718 sq mi
469,48880,75.037 sq mi
470,49431,104.001 sq mi
471,15215,0.296 sq mi
472,49242,90.605 sq mi
473,48101,7.02 sq mi
474,85008,10.468 sq mi
475,49078,47.997 sq mi
476,46321,7.57 sq mi
477,49010,158.794 sq mi
478,60689,0 sq mi
479,97304,55.775 sq mi
480,92019,26.85 sq mi
481,23298,0 sq mi
482,20910,0.012 sq mi
483,21204,6.029 sq mi
484,43560,20.893 sq mi
485,49615,69.7 sq mi
486,37604,0 sq mi
487,48864,21.562 sq mi
488,57401,1.52 sq mi
489,49456,24.883 sq mi
490,48346,0.868 sq mi
491,52245,8.277 sq mi
492,49247,85.532 sq mi
493,95357,38.529 sq mi
494,87401,1.085 sq mi
495,48551,0 sq mi
496,49036,157.433 sq mi
497,60461,2.78 sq mi
498,48638,6.606 sq mi
499,27514,19.428 sq mi
500,53713,10.431 sq mi
501,48381,0.76 sq mi
502,30009,9.598 sq mi
503,95817,2.291 sq mi
504,71638,4.784 sq mi
505,49464,0.131 sq mi
506,58103,11.306 sq mi
507,48214,5.025 sq mi
508,49677,131.773 sq mi
509,49006,6.524 sq mi
510,48911,15.891 sq mi
511,49002,17.662 sq mi
512,53792,0 sq mi
513,89191,0 sq mi
514,49103,1.97 sq mi
515,10021,0 sq mi
516,98122,1.218 sq mi
517,22031,6.806 sq mi
518,48653,251.6 sq mi
519,48552,0 sq mi
520,48111,2.314 sq mi
521,98499,0.645 sq mi
522,48040,6.91 sq mi
523,45429,9.937 sq mi
524,48079,1.425 sq mi
525,77571,6.289 sq mi
526,12601,18.806 sq mi
527,48097,0.557 sq mi
528,33511,15.886 sq mi
529,33136,1.426 sq mi
530,48027,0.065 sq mi
531,72205,7.816 sq mi
532,29406,0.397 sq mi
533,30326,0 sq mi
534,94080,0.109 sq mi
535,48021,5.117 sq mi
536,20904,0.038 sq mi
537,48127,7.693 sq mi
538,27710,0 sq mi
539,99708,0 sq mi
540,40536,0 sq mi
541,19102,0 sq mi
542,21224,9.475 sq mi
543,71103,3.794 sq mi
544,78028,250.675 sq mi
545,70006,2.589 sq mi
546,70118,0.681 sq mi
547,58203,67.763 sq mi
548,60647,4.047 sq mi
549,33803,15.58 sq mi
550,60402,5.272 sq mi
551,44113,3.829 sq mi
552,44906,20.786 sq mi
553,79601,5.596 sq mi
554,30329,0.052 sq mi
555,46805,0.008 sq mi
556,48316,11.105 sq mi
557,93301,4.181 sq mi
558,60649,2.93 sq mi
559,60088,2.325 sq mi
560,46360,2.488 sq mi
561,97027,2.533 sq mi
562,49221,118.424 sq mi
563,44106,4.216 sq mi
564,55344,8.806 sq mi
565,30501,2.671 sq mi
566,22060,13.019 sq mi
567,33919,2.669 sq mi
568,59901,452.114 sq mi
569,75390,0 sq mi
570,92037,13.078 sq mi
571,30097,22.476 sq mi
572,30041,58.832 sq mi
573,30328,0.226 sq mi
574,55101,0.815 sq mi
575,44141,23.71 sq mi
576,10305,4.252 sq mi
577,19141,1.814 sq mi
578,20024,2.614 sq mi
579,44122,0.024 sq mi
580,67214,5.473 sq mi
581,78229,5.745 sq mi
582,43623,6.725 sq mi
