,0
639,90024
640,33603
641,33602
642,33614
643,84119
644,48755
645,97401
646,87106
647,39202
648,53705
649,59105
650,24382
651,68198
652,28144
653,30165
654,31408
655,31901
656,30281
657,30106
658,31510
659,31201
660,30904
661,30114
662,30517
663,30084
664,53226
665,75216
666,30236
667,30340
668,30303
669,30058
670,30214
671,31062
672,30349
673,30034
674,30909
675,31909
676,30319
677,68113
678,31036
679,29506
680,37404
681,35242
682,35801
683,30033
684,36301
685,36801
686,62269
687,56482
688,67530
689,30030
690,87114
691,30401
692,97128
693,61761
694,31088
695,53406
696,30308
697,38163
698,77384
699,63127
700,30046
701,10994
702,60617
703,20722
704,30120
705,60616
706,39110
707,12304
708,60618
709,30905
710,30344
711,30311
712,30305
713,37129
714,20010
715,31021
716,30525
717,30274
718,35233
719,30152
720,85024
721,49807
722,31501
723,29425
724,78731
725,60640
726,80524
727,85251
728,30809
729,30474
730,23601
731,24017
732,30040
733,67601
734,30912
735,33486
736,38671
737,20155
738,60068
739,60463
740,60477
741,71459
742,53215
743,92123
744,31404
745,30117
746,30121
747,31707
748,32608
749,31904
750,30143
751,93720
752,90057
753,95825
754,14621
755,18017
756,53221
757,61704
758,53405
759,30078
760,62959
761,60523
762,61104
763,61102
764,45415
765,61021
766,60415
767,32605
768,33709
769,33330
770,33401
771,33770
772,43219
773,34609
774,33606
775,43212
776,43220
777,23507
778,90802
779,84112
780,38103
781,53233
782,48130
783,10032
784,87544
785,27288
786,30060
787,30458
788,32765
789,85339
790,23321
791,30013
792,38614
793,31093
794,33064
795,83404
796,39204
797,30134
798,30309
799,30014
800,32960
801,65804
802,27536
803,10027
804,33525
805,37923
806,31406
807,23224
808,28304
809,44333
810,43214
811,19003
812,13357
813,95403
814,75093
815,35903
816,42223
817,10037
818,20876
819,53143
820,54115
821,80113
822,32550
823,47001
824,40243
825,47006
826,36695
827,36532
828,70112
829,22042
830,77642
831,54911
832,20037
833,92108
834,57701
835,38125
836,28210
837,61615
838,78681
839,37934
840,87131
841,70808
842,23229
843,30534
844,30338
845,30043
846,30189
847,34684
848,31206
849,30317
850,30318
851,30577
852,46902
853,60050
854,44111
855,76182
856,91342
857,99654
858,51301
859,20060
860,62656
861,45662
862,36732
863,45601
864,75225
865,45504
866,28054
867,50595
868,10451
869,88005
870,30265
871,22408
872,47201
873,35010
874,30005
875,84111
876,90058
877,75001
878,92128
879,78363
880,44139
881,78758
882,98118
883,33331
884,93703
885,77702
886,71109
887,40292
888,90045
889,10006
890,37321
891,37403
892,30720
893,30115
894,60657
895,30721
896,28207
897,28262
898,20814
899,82001
900,60026
901,30606
902,85750
903,30635
904,62901
905,90822
906,30666
907,31719
908,37916
909,32348
910,30339
911,30012
912,28741
913,60559
914,60674
915,60137
916,90033
917,29118
918,15224
919,17033
920,31015
921,60527
922,60613
923,97330
924,85034
925,92103
926,94107
927,94404
928,11030
929,94117
930,30022
931,37040
932,28203
933,76177
934,31546
935,37206
936,30144
937,72370
938,30080
939,80443
940,77014
941,88011
942,29461
943,33805
944,32542
945,33323
946,65201
947,93003
948,76707
949,60190
950,30307
951,45409
952,17101
953,10019
954,32504
955,60005
956,34109
957,38104
958,33322
959,38120
960,80220
961,18901
962,31210
963,42003
964,37347
965,95816
966,12524
967,39157
968,67502
969,76104
970,75149
971,66604
972,92692
973,20853
974,60010
975,60030
976,70503
977,16121
978,15905
979,33701
980,64132
981,99577
982,20735
983,68130
984,78234
985,11787
986,11717
987,89102
988,60631
989,39501
990,33027
991,18840
992,28083
993,21202
994,75052
995,49935
996,95991
997,32751
998,62301
999,36502
1000,22407
1001,88001
1002,88310
1003,18015
1004,43528
1005,45431
1006,99204
1007,75251
1008,12550
1009,60426
1010,33612
1011,44710
1012,77478
1013,60007
1014,77024
1015,34239
1016,25801
1017,28607
1018,54650
1019,77074
1020,29203
1021,75067
1022,98155
1023,10458
1024,17822
1025,34667
1026,68105
1027,21044
1028,37203
1029,78756
1030,43221
1031,10010
1032,60201
1033,32827
1034,94063
1035,32506
1036,40207
1037,33771
1038,45840
1039,85037
1040,33781
1041,49120
1042,60487
1043,40202
1044,49015
1045,77089
1046,84108
1047,60525
1048,48416
1049,60045
1050,60062
1051,60035
1052,60714
1053,31558
1054,70056
1055,44223
1056,63017
1057,33421
1058,23188
1059,36207
1060,30504
1061,98431
1062,78205
1063,68502
1064,30331
1065,60134
1066,92868
1067,89502
1068,45701
1069,95340
1070,31217
1071,60304
1072,77070
1073,98033
1074,42101
1075,60181
1076,18042
1077,62703
1078,61603
1079,93636
1080,63104
1081,60564
1082,92161
1083,57105
1084,28204
1085,24014
1086,32308
1087,11373
1088,32086
1089,87701
1090,24701
1091,87505
1092,85042
1093,94602
1094,19146
1095,36867
1096,33411
1097,32266
1098,33761
1099,76801
1100,32750
1101,37363
1102,98664
1103,77521
1104,29572
1105,29732
1106,27573
1107,77494
1108,56164
1109,30324
1110,27932
1111,33913
1112,46260
1113,55407
1114,19087
1115,97504
1116,10310
1117,53706
1118,45236
1119,33462
1120,33175
1121,34972
1122,42104
1123,29860
1124,33909
