48048 is 0.155 sq mi
19147 is 1.407 sq mi
75235 is 6.72 sq mi
48201 is 2.005 sq mi
63139 is 3.891 sq mi
48212 is 5.349 sq mi
80112 is 0.129 sq mi
31404 is 1.524 sq mi
48302 is 1.162 sq mi
80301 is 28.998 sq mi
47362 is 1.679 sq mi
46250 is 7.612 sq mi
56071 is 83.094 sq mi
60108 is 7.193 sq mi
24901 is 87.2 sq mi
48864 is 21.562 sq mi
49333 is 3.872 sq mi
02467 is 0.055 sq mi
08007 is 1.294 sq mi
17538 is 0.005 sq mi
45206 is 2.015 sq mi
49017 is 55.467 sq mi
48045 is 9.225 sq mi
94949 is 1.227 sq mi
91773 is 14.303 sq mi
91214 is 7.547 sq mi
49464 is 0.131 sq mi
48182 is 39.647 sq mi
49024 is 17.155 sq mi
49801 is 5.092 sq mi
24016 is 3.247 sq mi
68527 is 0 sq mi
30622 is 41.184 sq mi
46738 is 0.087 sq mi
67801 is 378.639 sq mi
49022 is 68.78 sq mi
48059 is 7.215 sq mi
48628 is 33.126 sq mi
49454 is 73.077 sq mi
48033 is 8.964 sq mi
48386 is 16.723 sq mi
48192 is 5.298 sq mi
48213 is 6.534 sq mi
48430 is 82.958 sq mi
48451 is 33.778 sq mi
02818 is 21.821 sq mi
02818 is 21.821 sq mi
10065 is 0.386 sq mi
11501 is 2.049 sq mi
60707 is 3.608 sq mi
44106 is 4.216 sq mi
48307 is 15.349 sq mi
49106 is 15.71 sq mi
48219 is 8.407 sq mi
48108 is 16.974 sq mi
48232 is 0 sq mi
48203 is 8.014 sq mi
48849 is 82.9 sq mi
48038 is 10.963 sq mi
48601 is 104.961 sq mi
48446 is 6.081 sq mi
48066 is 9.852 sq mi
48085 is 9.31 sq mi
48014 is 36.59 sq mi
48327 is 0.484 sq mi
49426 is 62.487 sq mi
49418 is 18.925 sq mi
48082 is 0.756 sq mi
48081 is 1.336 sq mi
49646 is 221.872 sq mi
49783 is 151.049 sq mi
48604 is 24.922 sq mi
53213 is 0 sq mi
43201 is 3.083 sq mi
30329 is 0.052 sq mi
49221 is 118.424 sq mi
49098 is 32.435 sq mi
49038 is 37.719 sq mi
04005 is 47.9 sq mi
04043 is 35.279 sq mi
48826 is 0 sq mi
43560 is 20.893 sq mi
75033 is 0 sq mi
48116 is 3.523 sq mi
48047 is 5.182 sq mi
43623 is 6.725 sq mi
48211 is 4.189 sq mi
06032 is 0.595 sq mi
06032 is 0.595 sq mi
49111 is 40.853 sq mi
48917 is 24.317 sq mi
49855 is 200.614 sq mi
48858 is 172.881 sq mi
49866 is 145.545 sq mi
48374 is 9.082 sq mi
06042 is 10.435 sq mi
48237 is 5.151 sq mi
48867 is 137.644 sq mi
49079 is 83.039 sq mi
49080 is 77.948 sq mi
49450 is 29.472 sq mi
48174 is 41.189 sq mi
48763 is 93.414 sq mi
49544 is 0.172 sq mi
